Code,Borough,year,Offences,Rate,recordedOffences
E09000032,Wandsworth,2008,All recorded offences,85.2,25088
E09000033,Westminster,2008,All recorded offences,289.6,63331
E09000002,Barking and Dagenham,2009,All recorded offences,111.7,19843
E09000003,Barnet,2009,All recorded offences,76,26273
E09000004,Bexley,2009,All recorded offences,67.7,15451
E09000005,Brent,2009,All recorded offences,97.4,29046
E09000006,Bromley,2009,All recorded offences,77.5,23781
E09000007,Camden,2009,All recorded offences,158.6,33773
E09000008,Croydon,2009,All recorded offences,94.1,33210
E09000009,Ealing,2009,All recorded offences,102,33654
E09000010,Enfield,2009,All recorded offences,81,24459
E09000011,Greenwich,2009,All recorded offences,105.1,25622
E09000012,Hackney,2009,All recorded offences,121.4,28721
E09000013,Hammersmith and Fulham,2009,All recorded offences,127,22867
E09000014,Haringey,2009,All recorded offences,103.1,25743
E09000015,Harrow,2009,All recorded offences,65.9,15392
E09000016,Havering,2009,All recorded offences,73.3,17153
E09000017,Hillingdon,2009,All recorded offences,91,24165
E09000018,Hounslow,2009,All recorded offences,95.1,23142
E09000019,Islington,2009,All recorded offences,144.5,28432
E09000020,Kensington and Chelsea,2009,All recorded offences,129,20883
E09000021,Kingston upon Thames,2009,All recorded offences,70,11012
E09000022,Lambeth,2009,All recorded offences,120.6,35458
E09000023,Lewisham,2009,All recorded offences,109.3,29553
E09000024,Merton,2009,All recorded offences,74.9,14840
E09000025,Newham,2009,All recorded offences,119.6,34259
E09000026,Redbridge,2009,All recorded offences,88.9,24034
E09000027,Richmond upon Thames,2009,All recorded offences,62.5,11529
E09000028,Southwark,2009,All recorded offences,131.8,37048
E09000029,Sutton,2009,All recorded offences,69.3,13033
E09000030,Tower Hamlets,2009,All recorded offences,112.2,26990
E09000031,Waltham Forest,2009,All recorded offences,109.9,27266
E09000032,Wandsworth,2009,All recorded offences,85.1,25469
E09000033,Westminster,2009,All recorded offences,295.1,64022
E09000002,Barking and Dagenham,2010,All recorded offences,104.9,19177
E09000003,Barnet,2010,All recorded offences,73.1,25701
E09000004,Bexley,2010,All recorded offences,59.6,13739
E09000005,Brent,2010,All recorded offences,96.8,29492
E09000006,Bromley,2010,All recorded offences,71.4,22031
E09000007,Camden,2010,All recorded offences,159.3,34205
E09000008,Croydon,2010,All recorded offences,90.2,32292
E09000009,Ealing,2010,All recorded offences,104.9,35030
E09000010,Enfield,2010,All recorded offences,76.9,23657
E09000011,Greenwich,2010,All recorded offences,96.8,24130
E09000012,Hackney,2010,All recorded offences,115.9,28016
E09000013,Hammersmith and Fulham,2010,All recorded offences,133.5,24151
E09000014,Haringey,2010,All recorded offences,97.3,24588
E09000015,Harrow,2010,All recorded offences,63.1,14973
E09000016,Havering,2010,All recorded offences,74.4,17581
E09000017,Hillingdon,2010,All recorded offences,87.3,23535
E09000018,Hounslow,2010,All recorded offences,95.7,23855
E09000019,Islington,2010,All recorded offences,140.3,28076
E09000020,Kensington and Chelsea,2010,All recorded offences,132,21181
E09000021,Kingston upon Thames,2010,All recorded offences,70.3,11150
E09000022,Lambeth,2010,All recorded offences,119.8,35672
E09000023,Lewisham,2010,All recorded offences,105.9,28874
E09000024,Merton,2010,All recorded offences,73.9,14721
E09000025,Newham,2010,All recorded offences,114.9,34361
E09000026,Redbridge,2010,All recorded offences,89.1,24519
E09000027,Richmond upon Thames,2010,All recorded offences,63,11734
E09000028,Southwark,2010,All recorded offences,127.7,36252
E09000029,Sutton,2010,All recorded offences,65.5,12408
E09000030,Tower Hamlets,2010,All recorded offences,115.3,28652
E09000031,Waltham Forest,2010,All recorded offences,108.4,27539
E09000032,Wandsworth,2010,All recorded offences,81.7,24723
E09000033,Westminster,2010,All recorded offences,294.7,63996
E09000002,Barking and Dagenham,2011,All recorded offences,100.7,18825
E09000003,Barnet,2011,All recorded offences,73.5,26281
E09000004,Bexley,2011,All recorded offences,52.3,12168
E09000005,Brent,2011,All recorded offences,101.2,31592
E09000006,Bromley,2011,All recorded offences,70.5,21903
E09000007,Camden,2011,All recorded offences,162.7,35799
E09000008,Croydon,2011,All recorded offences,89.8,32775
E09000009,Ealing,2011,All recorded offences,96,32575
E09000010,Enfield,2011,All recorded offences,73,22928
E09000011,Greenwich,2011,All recorded offences,87.7,22415
E09000012,Hackney,2011,All recorded offences,112.9,27902
E09000013,Hammersmith and Fulham,2011,All recorded offences,128.4,23426
E09000014,Haringey,2011,All recorded offences,101.4,25911
E09000015,Harrow,2011,All recorded offences,58.9,14169
E09000016,Havering,2011,All recorded offences,72.7,17302
E09000017,Hillingdon,2011,All recorded offences,86.9,23937
E09000018,Hounslow,2011,All recorded offences,97.2,24768
E09000019,Islington,2011,All recorded offences,131,27025
E09000020,Kensington and Chelsea,2011,All recorded offences,131.2,20766
E09000021,Kingston upon Thames,2011,All recorded offences,70,11232
E09000022,Lambeth,2011,All recorded offences,121.5,36993
E09000023,Lewisham,2011,All recorded offences,98.1,27172
E09000024,Merton,2011,All recorded offences,70.6,14157
E09000025,Newham,2011,All recorded offences,103.1,32011
E09000026,Redbridge,2011,All recorded offences,86.2,24257
E09000027,Richmond upon Thames,2011,All recorded offences,64.1,12012
E09000028,Southwark,2011,All recorded offences,119.4,34475
E09000029,Sutton,2011,All recorded offences,61.4,11736
E09000030,Tower Hamlets,2011,All recorded offences,115,29452
E09000031,Waltham Forest,2011,All recorded offences,95.8,24876
E09000032,Wandsworth,2011,All recorded offences,79.3,24392
E09000033,Westminster,2011,All recorded offences,302,66315
E09000002,Barking and Dagenham,2012,All recorded offences,90.5,17240
E09000003,Barnet,2012,All recorded offences,69.7,25364
E09000004,Bexley,2012,All recorded offences,52.7,12335
E09000005,Brent,2012,All recorded offences,86.6,27260
E09000006,Bromley,2012,All recorded offences,64.5,20248
E09000007,Camden,2012,All recorded offences,146,32840
E09000008,Croydon,2012,All recorded offences,84.3,31109
E09000009,Ealing,2012,All recorded offences,88.1,30003
E09000010,Enfield,2012,All recorded offences,71,22521
E09000011,Greenwich,2012,All recorded offences,81.2,21110
E09000012,Hackney,2012,All recorded offences,110.3,27804
E09000013,Hammersmith and Fulham,2012,All recorded offences,121.1,21782
E09000014,Haringey,2012,All recorded offences,90.3,23377
E09000015,Harrow,2012,All recorded offences,55.5,13463
E09000016,Havering,2012,All recorded offences,68.7,16458
E09000017,Hillingdon,2012,All recorded offences,73.2,20636
E09000018,Hounslow,2012,All recorded offences,86.9,22509
E09000019,Islington,2012,All recorded offences,132,27865
